ID;Income_110805;sex;UBICACION;Edad;Area;Fecha Ingreso
1;1;H;LIMA;69;BUSINESS DEVELOPMENT & DIGITAL BANKIN;3/04/72
4;0;H;LIMA;68;BUSINESS DEVELOPMENT & DIGITAL BANKIN;7/09/72
6;1;M;LIMA;71;ENGINEERING;3/08/67
7;1;M;LIMA;65;ENGINEERING;19/01/76
8;1;M;LIMA;64;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/03/76
9;0;H;LIMA;66;OTROS;27/01/76
11;0;H;LIMA;62;ENGINEERING;16/06/76
13;1;H;LIMA;66;ENGINEERING;19/07/76
14;0;H;LIMA;62;CORPORATE & INVESTMENT BANKING;9/08/76
20;0;M;LIMA;71;OTROS;19/09/77
21;0;H;LIMA;63;TALENTO & CULTURA;1/10/77
22;1;H;LIMA;63;ENGINEERING;15/08/77
23;1;M;LIMA;66;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/06
34;0;M;LIMA;63;TALENTO & CULTURA;1/02/78
35;0;M;LIMA;72;TALENTO & CULTURA;19/02/79
44;0;H;LIMA;60;ENGINEERING;25/06/80
45;0;H;LIMA;62;TALENTO & CULTURA;11/08/80
57;0;H;LIMA;64;TALENTO & CULTURA;28/01/81
74;1;H;LIMA;66;ENGINEERING;21/12/81
76;0;H;LIMA;60;RIESGOS;18/01/82
77;1;M;LIMA;62;BANCA EMPRESAS E INSTITUCIONES;7/09/81
79;0;M;LIMA;63;TALENTO & CULTURA;29/03/82
91;0;M;LIMA;63;OTROS;2/07/82
103;0;M;LIMA;59;RIESGOS;2/12/82
104;0;H;LIMA;60;ENGINEERING;20/12/82
105;1;M;LIMA;68;BANCA EMPRESAS E INSTITUCIONES;27/12/82
119;1;H;LIMA;62;ENGINEERING;13/03/81
120;0;H;LIMA;64;TALENTO & CULTURA;8/09/80
130;0;M;LIMA;65;TALENTO & CULTURA;4/04/83
131;0;H;LIMA;64;TALENTO & CULTURA;25/05/83
132;1;M;LIMA;65;BANCA EMPRESAS E INSTITUCIONES;1/05/77
134;1;M;LIMA;63;BANCA EMPRESAS E INSTITUCIONES;1/04/81
